County,Municipality,Municipality Type,Farm Count,Improved Land Acres,Unimproved Land Acres,Farm Cash Value,Implements and Machinery Value,Horses Count,Asses and Mules Count,Milch Cows Count,Working Oxen Count,Other Cattle Count,Sheep Count,Swine Count,Live Stock Value,Wheat Bushels,Rye Bushels,Indian Corn Bushels,Oats Bushels,Tobacco Pounds,Wool Pounds,Peas Beans Bushels,Irish Potatoes Bushels,Sweet Potatoes Bushels,Barley Bushels,Buckwheat Bushels,Orchard Products Value,Wine Gallons,Garden Produce Value,Butter Pounds,Cheese Pounds,Hay Tons,Clover Seed Bushels,Other Seeds Bushels,Hops Pounds,Hemp Tons,Flax Pounds,Flaxseed Pounds,Silk Cocoons Pounds,Maple Sugar Pounds,Molasses Gallons,Beeswax Honey Pounds,Homemade Manufactures Value,Animals Slaughtered Value
Franklin,Unknown Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York,York ,Borough,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,Strasburg,Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tioga,Sullivan,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,Washington,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elk,Spring Creek,Township,4,43,1165,3100,49,0,0,6,6,2,0,0,307,0,0,0,180,0,30,0,260,0,0,0,0,0,0,450,0,13,0,0,0,0,0,0,0,510,0,0,230,78
Lancaster,Lancaster,City,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,Beaver,Township,117,9977,6945,317100,9542,366,1,447,4,333,612,1229,26490,15580,6822,9574,15889,0,,,,,,,,,,,,,,,,,,,,,,,,
Clearfield,Knox,Township,3,90,191,3200,83,2,0,8,2,5,28,6,455,120,0,123,170,0,194,0,90,0,0,0,0,0,0,700,0,35,0,0,0,0,0,0,0,0,0,0,80,69
Tioga,Middlebury,Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny,East Deer,Township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northampton,Easton,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Berwick,Township,64,3243,993,169945,4107,131,0,187,0,115,43,533,12722,8064,3132,7717,5559,0,66,0,1972,0,0,0,75,0,0,14658,0,729,9,26,0,0,0,0,0,0,0,40,0,3140
Adams,Butler,Township,114,10791,3265,346255,9886,367,0,475,0,433,501,1162,29696,12917,1029,16665,16414,0,1587,4,2054,96,0,159,688,0,4,25281,0,2164,138,201,0,0,643,50,0,0,0,152,135,5641
Adams,Conewago,Township,48,4985,1061,284750,8237,170,0,294,0,136,82,665,17065,12501,3134,9383,11185,0,368,0,1174,37,30,20,135,0,0,24250,600,1316,153,36,0,0,280,21,0,0,0,0,41,3417
Adams,Cumberland,Township,119,14804,4332,440810,16597,430,0,609,0,588,517,1419,42060,23358,1556,18811,16084,0,1599,0,1276,62,0,216,200,0,0,49517,0,2627,132,193,0,0,258,22,0,0,0,303,106,915
Luzerne,Unknown Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susquehanna,Friendsville,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berks,Womelsdorf,Borough,17,791,108,80380,1660,43,0,0,0,13,4,126,4566,3184,2648,3383,4136,0,0,0,853,0,83,0,20,0,0,5465,0,264,6,0,0,0,0,0,0,0,0,0,0,1799
Westmoreland,Salem,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Franklin,Township,134,13389,5984,416800,14307,474,0,611,0,659,886,1486,44919,18391,1331,24613,18557,0,2129,0,2641,284,0,145,0,0,0,40819,0,2453,233,78,0,0,342,54,0,0,0,328,280,8376
Adams,Freedom,Township,46,6195,2030,166340,6526,183,0,238,0,206,233,452,18358,8967,835,6240,4808,0,1177,0,431,0,0,67,0,0,0,17562,0,967,71,21,0,0,144,11,0,0,0,136,92,4094
Adams,Germany,Township,69,5695,1389,213650,9594,203,0,296,0,121,137,682,16094,10174,1892,7747,8173,0,521,0,1477,32,0,0,186,0,0,27260,0,1080,93,36,0,0,243,19,0,0,0,105,38,3964
Adams,Gettysburg,Borough,15,646,254,42360,1320,38,0,41,0,6,10,71,3138,2893,198,1680,1182,0,12,1,196,0,0,25,25,0,0,2150,0,240,8,1,0,0,0,0,0,0,0,0,0,720
Adams,Hamilton,Township,80,6167,1339,288900,7565,239,2,314,0,245,188,854,23750,14010,3557,13670,9400,0,321,0,1624,6,0,0,243,0,0,21026,0,1485,73,50,0,0,855,60,0,0,0,0,0,492
Adams,Hamiltonban,Township,82,10716,7112,348650,11675,351,0,387,0,603,1022,1236,37900,20788,1312,24830,11581,0,2794,0,1875,194,0,158,0,0,0,28293,0,1779,189,72,0,0,40,3,0,0,0,248,200,672
Adams,Huntington,Township,122,9320,4218,347775,11275,364,12,451,0,407,491,1323,34403,17294,3154,19665,13843,0,1453,0,3366,45,0,314,643,0,0,29252,0,2221,327,101,0,0,432,48,0,0,0,269,116,6442
Adams,Latimore,Township,102,8857,2914,337500,12492,340,0,427,0,364,414,1140,31644,14394,2985,14640,14635,0,1367,0,1922,20,0,157,431,0,0,26702,0,2035,173,109,0,0,459,60,0,0,0,30,227,6417
Adams,Liberty,Township,59,6808,3931,217550,8820,228,0,312,0,304,454,920,23974,11961,1520,11330,7005,0,1367,0,1161,24,0,69,0,0,0,21525,0,1139,147,76,0,0,10,0,0,0,0,110,183,4670
Adams,Menallen,Township,103,8590,10783,286490,11790,327,0,404,0,387,674,1120,27491,12234,3976,16310,9061,0,1985,0,3317,39,0,337,1449,0,0,23215,0,1809,336,35,0,0,266,28,0,0,0,98,419,4567
Adams,Mount Joy,Township,110,11371,3604,302880,16114,369,0,499,0,246,301,1060,18020,17244,2717,10535,12361,0,964,0,1444,77,0,136,104,0,0,50391,0,1718,146,81,4,0,517,39,0,0,0,199,272,5835
Warren,Sheffield ,Township,9,450,1284,14000,780,20,0,25,28,33,121,24,2987,300,20,372,700,0,235,5,1175,0,0,36,0,0,0,1300,0,209,0,0,0,0,0,0,0,0,0,0,47,468
Allegheny,Patton,Township,109,5576,4597,281620,7397,267,0,302,0,237,856,952,23394,11161,955,10782,29191,0,2056,0,2238,0,0,212,0,0,0,18909,0,856,67,11,19,0,150,6,0,30,0,210,279,4666
Adams,Mount Pleasant,Township,151,13650,4031,391360,15980,513,0,698,0,347,283,1435,40535,23621,4568,15496,22056,0,1394,0,2097,170,0,135,56,0,0,44591,500,2420,228,112,0,0,940,98,0,0,0,128,279,8356
